"name","last_name","first_name","graduation_date","rank_at_graduation","class","graduated_from","pilot_type","military_hometown_of_record","state","aerial_victory_credits","number_of_aerial_victory_credits","reported_lost","reported_lost_date","reported_lost_location","web_profile"
"Hardy, Ferdinand Albert","Hardy","Ferdinand Albert",1946-05-14,"Unk","TE-46-B","TAAF","Twin engine",,,,0,,,,
"Hardy, George E.","Hardy","George E.",1944-09-08,"2nd Lt","SE-44-H","TAAF","Single engine","Philadelphia","PA",,0,,,,
"Harmon, Arthur C.","Harmon","Arthur C.",1945-10-16,"2nd Lt","TE-45-G","TAAF","Twin engine","Los Angeles","CA",,0,,,,
"Harper, Samuel W.","Harper","Samuel W.",1944-01-07,"2nd Lt","TE-44-A","TAAF","Twin engine","Oliver Springs","TN",,0,,,,
"Harris, Alfonso L.","Harris","Alfonso L.",1945-10-16,"Flight Officer","SE-45-G","TAAF","Single engine","Dallas","TX",,0,,,,
"Harris, Archie H., Jr.","Harris","Archie H., Jr.",1944-02-01,"2nd Lt","TE-44-K","TAAF","Twin engine","Ocean City","NJ",,0,,,,
"Harris, Bernard","Harris","Bernard",1944-11-20,"2nd Lt","TE-44-I","TAAF","Twin engine","Detroit","MI",,0,,,,
"Harris, Cassius","Harris","Cassius",1942-08-05,"2nd Lt","SE-42-G","TAAF","Single engine","Philadelphia","PA",,0,,,,
"Harris, Edward","Harris","Edward",1944-08-04,"Flight Officer","TE-44-G","TAAF","Twin engine","Pittsburg","PA",,0,,,,
"Harris, Herbert S.","Harris","Herbert S.",1943-06-30,"2nd Lt","SE-43-F","TAAF","Single engine","Philadelphia","PA",,0,,,,
"Harris, James E.","Harris","James E.",1944-12-28,"2nd Lt","SE-44-J","TAAF","Single engine","Xenia","OH",,0,,,,
"Harris, John S.","Harris","John S.",1945-08-04,"2nd Lt","TE-45-E","TAAF","Twin engine","Richmond","KY",,0,,,,
"Harris, Maceo A., Jr.","Harris","Maceo A., Jr.",1943-10-01,"2nd Lt","SE-43-I","TAAF","Single engine","Boston","MA",,0,,,,
"Harris, Richard H.","Harris","Richard H.",1943-06-30,"2nd Lt","SE-43-F","TAAF","Single engine","Montgomery","AL",,0,,,,
"Harris, Stanley L.","Harris","Stanley L.",1943-12-05,"2nd Lt","SE-43-K","TAAF","Single engine","St. Paul","MN",,0,,,,
"Harris, Thomas D., Jr.","Harris","Thomas D., Jr.",1945-09-08,"2nd Lt","SE-45-F","TAAF","Single engine","Brooklyn","NY",,0,,,,
"Harrison, Alvin E., Jr.","Harrison","Alvin E., Jr.",1945-11-20,"Flight Officer","TE-45-H","TAAF","Twin engine","Chicago","IL",,0,,,,
"Harrison, James E.","Harrison","James E.",1945-06-27,"2nd Lt","SE-45-D","TAAF","Single engine","Texarkana","TX",,0,,,,
"Harrison, John L., Jr.","Harrison","John L., Jr.",1943-12-05,"2nd Lt","TE-43-K","TAAF","Twin engine","Omaha","NE",,0,,,,
"Harrison, Lonnie","Harrison","Lonnie",1945-10-16,"Flight Officer","TE-45-G","TAAF","Twin engine","Huston","LA",,0,,,,
"Harvey, James H.","Harvey","James H.",1944-10-16,"2nd Lt","SE-44-I-1","TAAF","Single engine","Mountain Top","PA",,0,,,,"https://cafriseabove.org/james-h-harvey-iii/"
"Hatchcock, Lloyd S.","Hatchcock","Lloyd S.",1943-12-05,"2nd Lt","SE-43-K","TAAF","Single engine","Dayton","OH",,0,,,,
"Hawkins, Donald A.","Hawkins","Donald A.",1944-11-20,"Flight Officer","TE-44-I","TAAF","Twin engine","San Bernardino","CA",,0,,,,
"Hawkins, Kenneth R.","Hawkins","Kenneth R.",1944-01-07,"2nd Lt","TE-44-A","TAAF","Twin engine","San Bernardino","CA",,0,,,,
"Hawkins, Thomas L.","Hawkins","Thomas L.",1944-05-23,"Flight Officer","SE-44-E","TAAF","Single engine","Glen Rock","NJ",,0,,,,"https://cafriseabove.org/thomas-hawkins/"
"Hayes, Lee Archer","Hayes","Lee Archer",1946-01-29,"Flight Officer","TE-45-I","TAAF","Twin engine","East Hampton","NY",,0,,,,
"Hayes, Reginald W.","Hayes","Reginald W.",1944-03-12,"2nd Lt","TE-44-C","TAAF","Twin engine","Holicong","PA",,0,,,,
"Hays, George K.","Hays","George K.",1944-05-23,"2nd Lt","SE-44-E","TAAF","Single engine","Los Angeles","CA",,0,,,,
"Hays, Milton S.","Hays","Milton S.",1944-04-15,"2nd Lt","SE-44-D","TAAF","Single engine","Los Angeles","CA",,0,,,,
"Haywood, Vernon V.","Haywood","Vernon V.",1943-04-29,"2nd Lt","SE-43-D","TAAF","Single engine","Raleigh","NC",,0,,,,"https://cafriseabove.org/vernon-v-haywood/"
"Heath, Percy L., Jr.","Heath","Percy L., Jr.",1944-02-01,"2nd Lt","SE-44-K","TAAF","Single engine","Philadelphia","PA",,0,,,,
"Helem, George W.","Helem","George W.",1945-05-23,"2nd Lt","SE-45-C","TAAF","Single engine","Reidsville","NC",,0,,,,"https://cafriseabove.org/george-washington-helem/"
"Henderson, Eugene R.","Henderson","Eugene R.",1944-11-20,"2nd Lt","TE-44-I","TAAF","Twin engine","Jacksonvile","FL",,0,,,,
"Henry, Milton R.","Henry","Milton R.",1943-06-30,"2nd Lt","SE-43-F","TAAF","Single engine","Philadelphia","PA",,0,,,,
"Henry, Warren E.","Henry","Warren E.",1944-09-08,"2nd Lt","TE-44-H","TAAF","Twin engine","Plainfield","NJ",,0,,,,
"Henry, William T.","Henry","William T.",1944-02-01,"Flight Officer","SE-44-K","TAAF","Single engine","New York","NY",,0,,,,
"Henson, James W.","Henson","James W.",1945-04-15,"2nd Lt","SE-45-B","TAAF","Single engine","Baltimore","MD",,0,,,,
"Herrington, Arron","Herrington","Arron",1944-05-23,"2nd Lt","SE-44-E","TAAF","Single engine","Raleigh","NC",,0,,,,
"Herron, Walter E.","Herron","Walter E.",1944-12-28,"1st Lt","TE-44-J","TAAF","Twin engine","Memphis","TN",,0,,,,
"Hervey, Henry P., Jr.","Hervey","Henry P., Jr.",1943-12-05,"2nd Lt","TE-43-K","TAAF","Twin engine","Chicago","IL",,0,,,,
"Heywood, Herbert H.","Heywood","Herbert H.",1944-03-12,"2nd Lt","SE-44-C","TAAF","Single engine","St. Croix","VI",,0,,,,
"Hicks, Arthur N.","Hicks","Arthur N.",1945-05-23,"2nd Lt","SE-45-C","TAAF","Single engine","Dayton","OH",,0,,,,
"Hicks, Frederick P.","Hicks","Frederick P.",1944-02-08,"2nd Lt","TE-44-B","TAAF","Twin engine","San Francisco","CA",,0,,,,
"Higginbotham, Mitchell L.","Higginbotham","Mitchell L.",1944-02-01,"2nd Lt","TE-44-K","TAAF","Twin engine","Sewickley","PA",,0,,,,
"Highbaugh, Earl B.","Highbaugh","Earl B.",1944-05-23,"2nd Lt","SE-44-E","TAAF","Single engine","Indianapolis","IN",,0,,,,
"Highbaugh, Richard B.","Highbaugh","Richard B.",1943-12-05,"2nd Lt","TE-43-K","TAAF","Twin engine","Indianapolis","IN",,0,,,,
"Hill, Charles A., Jr.","Hill","Charles A., Jr.",1944-06-27,"2nd Lt","SE-44-F","TAAF","Single engine","Detroit","MI",,0,,,,
"Hill, Charles D.","Hill","Charles D.",1944-02-08,"2nd Lt","TE-44-B","TAAF","Twin engine","Washington","DC",,0,,,,
"Hill, Louis G., Jr.","Hill","Louis G., Jr.",1944-02-08,"1st Lt","TE-44-B","TAAF","Twin engine","Indianapolis","IN",,0,,,,
"Hill, Nathaniel M.","Hill","Nathaniel M.",1942-10-09,"2nd Lt","SE-42-I","TAAF","Single engine","Washington","DC",,0,,,,
"Hill, William E.","Hill","William E.",1943-08-30,"2nd Lt","SE-43-H","TAAF","Single engine","Narragansett","RI",,0,,,,"https://cafriseabove.org/2nd-lt-william-e-hill/"
"Hill, William L.","Hill","William L.",1943-12-05,"Flight Officer","SE-43-K","TAAF","Single engine","Huntington","WV","Downed 1 Me-109 on August 23, 1944",1,,,,
"Hillary, Harold A.","Hillary","Harold A.",1943-12-05,"2nd Lt","TE-43-K","TAAF","Twin engine","New York","NY",,0,,,,
"Hockaday, Wendell W.","Hockaday","Wendell W.",1944-05-23,"2nd Lt","SE-44-E","TAAF","Single engine","Norfolk","VA",,0,,,,"https://cafriseabove.org/wendell-w-hockaday/"
"Hodges, Jerry T., Jr.","Hodges","Jerry T., Jr.",1945-09-08,"2nd Lt","TE-45-F","TAAF","Twin engine","Heth","AR",,0,,,,
"Holbert, Bertrand J.","Holbert","Bertrand J.",1945-03-11,"2nd Lt","SE-45-A","TAAF","Single engine","Dallas","TX",,0,,,,
"Holland, Henry T.","Holland","Henry T.",1945-08-04,"2nd Lt","SE-45-E","TAAF","Single engine","Baltimore","MD",,0,,,,
"Holloman, William H., III","Holloman","William H., III",1944-09-08,"2nd Lt","SE-44-H","TAAF","Single engine","St. Louis","MO",,0,,,,"https://cafriseabove.org/william-h-holloman-iii/"
"Holloway, Lorenzo W., Jr.","Holloway","Lorenzo W., Jr.",1945-10-16,"2nd Lt","SE-45-G","TAAF","Single engine","Detroit","MI",,0,,,,
"Holman, William D.","Holman","William D.",1945-05-23,"Flight Officer","SE-45-C","TAAF","Single engine","Suffolk","VA",,0,,,,
"Holsclaw, Jack D.","Holsclaw","Jack D.",1943-07-28,"2nd Lt","SE-43-G","TAAF","Single engine","Spokane","WA","Downed 2 Me-109s on July 18, 1944",2,,,,
"Honemond, Maxwell","Honemond","Maxwell",1943-12-07,"2nd Lt","CL-43-3","TAAF","Liaison pilot","Baltimore","MD",,0,,,,
"Hopson, Vernon","Hopson","Vernon",1944-11-20,"Flight Officer","SE-44-I","TAAF","Single engine","San Antonio","TX",,0,,,,"https://cafriseabove.org/vernon-hopson/"
"Hoskins, Harold K.","Hoskins","Harold K.",1948-10-12,"2nd Lt",,"Williams AFB, AZ","Single engine","Williams AFB","AZ",,0,,,,
"Houston, Heber C.","Houston","Heber C.",1943-04-29,"2nd Lt","SE-43-D","TAAF","Single engine","Detroit","MI",,0,,,,
"Howard, Fred E.","Howard","Fred E.",1943-10-22,"1st Lt","CL-43-2","TAAF","Liaison pilot","Chicago","IL",,0,,,,
"Hubbard, Lyman L.","Hubbard","Lyman L.",1945-11-20,"Flight Officer","TE-45-H","TAAF","Twin engine","Springfield","IL",,0,,,,
"Hudson, Elbert","Hudson","Elbert",1944-03-12,"2nd Lt","SE-44-C","TAAF","Single engine","Los Angeles","CA",,0,,,,
"Hudson, Lincoln T.","Hudson","Lincoln T.",1944-06-27,"2nd Lt","SE-44-F","TAAF","Single engine","Chicago","IL",,0,,,,"https://cafriseabove.org/lincoln-t-hudson/"
"Hudson, Perry E., Jr.","Hudson","Perry E., Jr.",1943-11-03,"2nd Lt","SE-43-J","TAAF","Single engine","Atlanta","GA",,0,,,,
"Hughes, Andrew James","Hughes","Andrew James",1946-05-14,"Flight Officer","TE-46-B","TAAF","Twin engine","Unknown",,,0,,,,
"Hughes, Samuel R., Jr.","Hughes","Samuel R., Jr.",1945-04-15,"Flight Officer","SE-45-B","TAAF","Single engine","Los Angeles","CA",,0,,,,
"Hunter, Charles H.","Hunter","Charles H.",1944-01-07,"2nd Lt","TE-44-A","TAAF","Twin engine","Washington","DC",,0,,,,
"Hunter, Henry A.","Hunter","Henry A.",1944-10-16,"2nd Lt","SE-44-I-1","TAAF","Single engine","Williamsport","PA",,0,,,,
"Hunter, Marcellus L.","Hunter","Marcellus L.",1945-10-16,"2nd Lt","TE-45-G","TAAF","Twin engine","Washington","DC",,0,,,,
"Hunter, Samuel D.","Hunter","Samuel D.",1944-12-28,"2nd Lt","TE-44-J","TAAF","Twin engine","Colorado Springs","CO",,0,,,,
"Hunter, Willie S.","Hunter","Willie S.",1943-06-30,"2nd Lt","SE-43-F","TAAF","Single engine","Albany","GA",,0,,,,
"Hurd, James A.","Hurd","James A.",1944-09-08,"1st Lt","TE-44-H","TAAF","Twin engine","Leavenworth","KS",,0,,,,
"Hurd, Sylvester H., Jr.","Hurd","Sylvester H., Jr.",1945-11-20,"Flight Officer","SE-45-H","TAAF","Single engine","Chicago","IL",,0,,,,
"Hurt, Wesley D.","Hurt","Wesley D.",1945-08-04,"2nd Lt","SE-45-E","TAAF","Single engine","Philadelphia","PA",,0,,,,
"Hutcherson, Fred","Hutcherson","Fred",,"Flight Officer","45-BI-1","TAAF","Service pilot","Evanson","IL",,0,,,,
"Hutchins, Freddie E.","Hutchins","Freddie E.",1943-04-29,"2nd Lt","SE-43-D","TAAF","Single engine","Donaldsonville","CA","Downed 1 Me-109 on July 26, 1944",1,,,,"https://cafriseabove.org/frederick-e-hutchins-sr/"
"Hutton, Oscar D.","Hutton","Oscar D.",1943-11-03,"2nd Lt","SE-43-J","TAAF","Single engine","Chicago","IL",,0,,,,"https://cafriseabove.org/oscar-d-hutton-jr/"
"Hymes, William H","Hymes","William H",1944-02-01,"2nd Lt","SE-44-K","TAAF","Single engine","Lincoln Univ","PA",,0,,,,
"Iles, George J.","Iles","George J.",1944-05-23,"2nd Lt","SE-44-E","TAAF","Single engine","Quincy","IL",,0,,,,"https://cafriseabove.org/george-jewell-iles/"
"Irving, Wellington G.","Irving","Wellington G.",1943-12-05,"2nd Lt","SE-43-K","TAAF","Single engine","Belzoni","MS",,0,,,,"https://cafriseabove.org/wellington-g-irving/"
"Jackson, Charles L.","Jackson","Charles L.",1944-04-15,"Flight Officer","SE-44-D","TAAF","Single engine","Circleville","OH",,0,,,,
"Jackson, Charles S., Jr.","Jackson","Charles S., Jr.",1944-01-07,"2nd Lt","SE-44-A","TAAF","Single engine","Chicago","IL",,0,,,,
"Jackson, Donald E.","Jackson","Donald E.",1945-11-20,"Flight Officer","TE-45-H","TAAF","Twin engine","Kansas City","KS",,0,,,,
"Jackson, Frank A.","Jackson","Frank A.",1944-10-16,"Flight Officer","SE-44-I-1","TAAF","Single engine","Youngstown","OH",,0,,,,
"Jackson, Julien D., Jr.","Jackson","Julien D., Jr.",1945-10-16,"Flight Officer","SE-45-G","TAAF","Single engine","Norfolk","VA",,0,,,,
"Jackson, Leonard M.","Jackson","Leonard M.",1943-04-29,"2nd Lt","SE-43-D","TAAF","Single engine","Fort Worth","TX","Downed 1 Fw-190 on February 7, 1944; Downed 1 Me-109 on July 26, 1944; Downed 1 Me-109 on July 27, 1944",3,,,,
"Jackson, Melvin T.","Jackson","Melvin T.",1942-11-10,"2nd Lt","SE-42-J","TAAF","Single engine","Warrenton","VA","Downed 1 Me-109 on June 9, 1944",1,,,,
"Jackson, Sterling K.","Jackson","Sterling K.",1943-12-07,"2nd Lt","CL-43-3","TAAF","Liaison pilot","Chicago","IL",,0,,,,
"Jackson, William T.","Jackson","William T.",1944-06-27,"Flight Officer","TE-44-F","TAAF","Twin engine","Chicago","IL",,0,,,,
"Jamerson, Clarence F.","Jamerson","Clarence F.",1943-03-25,"2nd Lt","SE-43-C","TAAF","Single engine","Pasedena","CA",,0,,,,
"James, Daniel, Jr.","James","Daniel, Jr.",1943-07-28,"2nd Lt","SE-43-G","TAAF","Single engine","Pensacola","FL",,0,,,,
"James, Voris S.","James","Voris S.",1944-11-20,"2nd Lt","TE-44-I","TAAF","Twin engine","San Antonio","TX",,0,,,,"https://cafriseabove.org/voris-stevenson-james/"
"Jamison, Clarence C.","Jamison","Clarence C.",1942-04-29,"2nd Lt","SE-42-D","TAAF","Single engine","Cleveland","OH",,0,,,,"https://cafriseabove.org/clarence-c-jamison/"
"Jamison, Donald S.","Jamison","Donald S.",1945-09-08,"Flight Officer","TE-45-F","TAAF","Twin engine","Wilmington","DE",,0,,,,
"Jefferson, Alexander","Jefferson","Alexander",1944-01-07,"2nd Lt","SE-44-A","TAAF","Single engine","Detroit","MI",,0,,,,"https://cafriseabove.org/alexander-jefferson/"
"Jefferson, Lawrence B.","Jefferson","Lawrence B.",1943-08-30,"2nd Lt","SE-43-H","TAAF","Single engine","Grand Rapids","MI",,0,,,,
"Jefferson, Samuel","Jefferson","Samuel",1943-08-30,"2nd Lt","SE-43-H","TAAF","Single engine","Galveston","TX",,0,,,,"https://cafriseabove.org/samuel-jefferson/"
"Jefferson, Thomas W.","Jefferson","Thomas W.",1944-05-23,"Flight Officer","SE-44-E","TAAF","Single engine","Chicago","IL","Downed 2 Me-109s on April 26, 1945",2,,,,
"Jenkins, Edward M.","Jenkins","Edward M.",1945-03-11,"2nd Lt","SE-45-A","TAAF","Single engine","Nutley","NJ",,0,,,,
"Jenkins, Garfield L.","Jenkins","Garfield L.",1944-11-20,"2nd Lt","SE-44-I","TAAF","Single engine","Chicago","IL",,0,,,,
"Jenkins, Joseph E.","Jenkins","Joseph E.",1944-10-16,"2nd Lt","TE-44-I-1","TAAF","Twin engine","Ardmore","PA",,0,,,,
"Jenkins, Silas M.","Jenkins","Silas M.",1944-10-16,"2nd Lt","TE-44-I-1","TAAF","Twin engine","Lansing","MI",,0,,,,
"Jenkins, Stephen S., Jr.","Jenkins","Stephen S., Jr.",1944-09-08,"2nd Lt","SE-44-H","TAAF","Single engine","Columbus","OH",,0,,,,
"Johnson, Alvin J.","Johnson","Alvin J.",1944-11-20,"2nd Lt","SE-44-I","TAAF","Single engine","Chicago","IL",,0,,,,
"Johnson, Andrew, Jr.","Johnson","Andrew, Jr.",1944-11-20,"2nd Lt","SE-44-I","TAAF","Single engine","Greensboro","NC",,0,,,,
"Johnson, Carl C.","Johnson","Carl C.",1946-10-01,"Flight Officer",,"Enid Army Air Field, Ok","Twin engine","Enid Army Air Field","OK",,0,,,,"https://cafriseabove.org/carl-c-johnson/"
"Johnson, Carl E.","Johnson","Carl E.",1943-10-01,"2nd Lt","SE-43-I","TAAF","Single engine","Charlottesville","VA","Downed 1 RE-2001 on July 30, 1944",1,,,,
"Johnson, Charles B.","Johnson","Charles B.",1943-10-01,"2nd Lt","SE-43-I","TAAF","Single engine","Philadelphia","PA",,0,,,,
"Johnson, Charlie A.","Johnson","Charlie A.",1944-11-20,"Flight Officer","TE-44-I","TAAF","Twin engine","Marshall","TX",,0,,,,
"Johnson, Clarence","Johnson","Clarence",1945-06-27,"2nd Lt","SE-45-D","TAAF","Single engine","Newark","NJ",,0,,,,
"Johnson, Conrad A., Jr.","Johnson","Conrad A., Jr.",1944-08-04,"2nd Lt","SE-44-G","TAAF","Single engine","New York","NY",,0,,,,
"Johnson, Earl C.","Johnson","Earl C.",1945-05-23,"Flight Officer","SE-45-C","TAAF","Single engine","Baltimore","MD",,0,,,,
"Johnson, Langdon E.","Johnson","Langdon E.",1943-05-28,"2nd Lt","SE-43-E","TAAF","Single engine","Rand","WV","Downed 1 Me-109 on July 20, 1944",1,,,,"https://cafriseabove.org/langdon-johnson/"
"Johnson, Louis W.","Johnson","Louis W.",1944-11-20,"2nd Lt","SE-44-I","TAAF","Single engine","San Antonio","TX",,0,,,,
"Johnson, Robert M.","Johnson","Robert M.",1944-09-08,"Flight Officer","SE-44-H","TAAF","Single engine","Pittsburg","PA",,0,,,,
"Johnson, Rupert C.","Johnson","Rupert C.",1944-06-27,"2nd Lt","SE-44-F","TAAF","Single engine","Los Angeles","CA",,0,,,,
"Johnson, Theopolis W.","Johnson","Theopolis W.",1945-04-15,"2nd Lt","TE-45-B","TAAF","Twin engine","Carbon Hill","AL",,0,,,,
"Johnson, Wilbert H.","Johnson","Wilbert H.",1943-06-30,"2nd Lt","SE-43-F","TAAF","Single engine","Los Angeles","CA",,0,,,,
"Johnson, William H.","Johnson","William H.",1943-12-07,"2nd Lt","CL-43-3","TAAF","Liaison pilot","Franklin County","OH",,0,,,,
"Johnston, William A., Jr.","Johnston","William A., Jr.",1945-06-27,"Flight Officer","SE-45-D","TAAF","Single engine","Sewickley","PA",,0,,,,
"Jones, Beecher A.","Jones","Beecher A.",1944-02-01,"Flight Officer","SE-44-K","TAAF","Single engine","Chillicothe","OH",,0,,,,
"Jones, Edgar L.","Jones","Edgar L.",1943-10-01,"2nd Lt","SE-43-I","TAAF","Single engine","New York","NY",,0,,,,
"Jones, Frank D.","Jones","Frank D.",1945-05-23,"Flight Officer","SE-45-C","TAAF","Single engine","Hyattsville","MD",,0,,,,
"Jones, Hubert L.","Jones","Hubert L.",1943-08-30,"2nd Lt","SE-43-H","TAAF","Single engine","Institute","WV",,0,,,,
"Jones, Major E.","Jones","Major E.",1944-04-15,"2nd Lt","SE-44-D","TAAF","Single engine","Cleveland","OH",,0,,,,
"Jones, Robert, Jr.","Jones","Robert, Jr.",1945-03-11,"Flight Officer","SE-45-A","TAAF","Single engine","Jamestown","NY",,0,,,,
"Jones, William M.","Jones","William M.",1945-10-16,"2nd Lt","SE-45-G","TAAF","Single engine","Columbus","OH",,0,,,,
"Jordan, William M.","Jordan","William M.",1943-10-22,"2nd Lt","CL-43-2","TAAF","Liaison pilot","Chicago","IL",,0,,,,
"Jordon, Lowell H.","Jordon","Lowell H.",1945-04-15,"2nd Lt","TE-45-B","TAAF","Twin engine","Ft. Huachuca","AZ",,0,,,,
"Keel, Daniel","Keel","Daniel",1945-10-16,"Flight Officer","TE-45-G","TAAF","Twin engine","Boston","MA",,0,,,,
"Keith, Laurel E.","Keith","Laurel E.",1944-06-27,"2nd Lt","TE-44-F","TAAF","Twin engine","Cassopolis","MI",,0,,,,
"Kellam, Edgar L.","Kellam","Edgar L.",1948-10-12,"1st Lt",,"Williams AFB, AZ","Single engine","Williams AFB","AZ",,0,,,,
"Kelly, Earl","Kelly","Earl",1945-09-08,"2nd Lt","SE-45-F","TAAF","Single engine","Los Angeles","CA",,0,,,,
"Kelly, Thomas A.","Kelly","Thomas A.",1945-06-27,"Flight Officer","SE-45-D","TAAF","Single engine","Pasadena","CA",,0,,,,
"Kennedy, Elmore V.","Kennedy","Elmore V.",1943-12-05,"1st Lt","TE-43-K","TAAF","Twin engine","Philadelphia","PA",,0,,,,
"Kennedy, James V., Jr.","Kennedy","James V., Jr.",1945-03-11,"2nd Lt","TE-45-A","TAAF","Twin engine","Chicago","IL",,0,,,,
"Kenney, Oscar A.","Kenney","Oscar A.",1943-06-30,"2nd Lt","SE-43-F","TAAF","Single engine","Tuskegee Inst.","AL",,0,,,,
"Kimbrough, Benny R.","Kimbrough","Benny R.",1944-08-04,"2nd Lt","SE-44-G","TAAF","Single engine","Cincinnatti","OH",,0,,,,
"King, Celestus","King","Celestus",1944-04-15,"2nd Lt","TE-44-D","TAAF","Twin engine","Los Angeles","CA",,0,,,,
"King, Earl E.","King","Earl E.",1942-08-05,"2nd Lt","SE-42-G","TAAF","Single engine","Bessemer","AL",,0,,,,
"King, Haldane","King","Haldane",1943-11-03,"2nd Lt","SE-43-J","TAAF","Single engine","Jamaica","NY",,0,,,,
"Kirkpatrick, Felix J.","Kirkpatrick","Felix J.",1943-05-28,"2nd Lt","SE-43-E","TAAF","Single engine","Chicago","IL","Downed 1 Me-109 on July 27, 1944",1,,,,
"Kirksey, LeeRoy","Kirksey","LeeRoy",1944-12-28,"Flight Officer","SE-44-J","TAAF","Single engine","St. Louis","MO",,0,,,,
"Knight, Calvin M.","Knight","Calvin M.",1945-06-27,"Flight Officer","SE-45-D","TAAF","Single engine","Norfolk","VA",,0,,,,
"Knight, Frederick D., Jr.","Knight","Frederick D., Jr.",1945-11-20,"2nd Lt","TE-45-H","TAAF","Twin engine","Columbus","OH",,0,,,,
"Knight, William H.","Knight","William H.",1945-04-15,"Flight Officer","SE-45-B","TAAF","Single engine","Topeka","KS",,0,,,,
"Knighten, James B.","Knighten","James B.",1942-05-20,"2nd Lt","SE-42-E","TAAF","Single engine","Tulsa","OK",,0,,,,
"Knox, George L.","Knox","George L.",1942-05-20,"2nd Lt","SE-42-E","TAAF","Single engine","Indianapolis","IN",,0,,,,
"Kydd, George H., III","Kydd","George H., III",1944-04-15,"2nd Lt","TE-44-D","TAAF","Twin engine","Charleston","WV",,0,,,,
"Lacy, Hezekiah","Lacy","Hezekiah",1943-06-30,"2nd Lt","SE-43-F","TAAF","Single engine","River Rouge","MI",,0,,,,
"Laird, Edward","Laird","Edward",1943-11-03,"2nd Lt","SE-43-J","TAAF","Single engine","Brighton","AL",,0,,,,"https://cafriseabove.org/edward-laird/"
"Lanauze, Harry E.","Lanauze","Harry E.",1946-03-23,"2nd Lt","SE-46-A","TAAF","Single engine","Washington","DC",,0,,,,
"Lancaster, Theadore W.","Lancaster","Theadore W.",1944-10-16,"2nd Lt","SE-44-I-1","TAAF","Single engine","Rochester","NY",,0,,,,
"Lane, Allen G.","Lane","Allen G.",1942-07-03,"2nd Lt","SE-42-F","TAAF","Single engine","Demopolis","AL",,0,,,,
"Lane, Charles A.","Lane","Charles A.",1944-09-08,"Flight Officer","SE-44-H","TAAF","Single engine","St. Louis","MO",,0,,,,
"Lane, Earl R.","Lane","Earl R.",1944-04-15,"2nd Lt","SE-44-D","TAAF","Single engine","Wickliffe","OH","Downed 1 Me-262 on March 24, 1945; Downed 1 Me-109 on March 31, 1945",2,,,,
"Langston, Carroll N.","Langston","Carroll N.",1943-10-01,"2nd Lt","SE-43-I","TAAF","Single engine","Chicago","IL",,0,,,,
"Lanham, Jimmy","Lanham","Jimmy",1944-05-23,"2nd Lt","SE-44-E","TAAF","Single engine","Philadelphia","PA","Downed 1 Me-109 on April 15, 1945; Downed 1 Me-109 on April 26, 1945",2,,,,
"Lankford, Joshua J.","Lankford","Joshua J.",1945-11-20,"2nd Lt","TE-45-H","TAAF","Twin engine","San Antonio","TX",,0,,,,
"Lawrence, Erwin B., Jr.","Lawrence","Erwin B., Jr.",1942-07-03,"2nd Lt","SE-42-F","TAAF","Single engine","Cleveland","OH",,0,,,,"https://cafriseabove.org/erwin-bernard-lawrence/"
"Lawrence, Robert W.","Lawrence","Robert W.",1944-06-27,"2nd Lt","SE-44-F","TAAF","Single engine","Bloomfield","NJ",,0,,,,
"Lawson, Herman A.","Lawson","Herman A.",1942-10-09,"2nd Lt","SE-42-I","TAAF","Single engine","Fresno","CA",,0,,,,
"Lawson, Walter E.","Lawson","Walter E.",1942-08-05,"2nd Lt","SE-42-G","TAAF","Single engine","Newton","VA",,0,,,,
"Leahr, John H.","Leahr","John H.",1943-07-28,"2nd Lt","SE-43-G","TAAF","Single engine","Cincinnatti","OH",,0,,,,"https://cafriseabove.org/john-h-leahr/"
"Lee, Frank","Lee","Frank",1944-06-27,"2nd Lt","TE-44-F","TAAF","Twin engine","Los Angeles","CA",,0,,,,
"Leftenant, Samuel G.","Leftenant","Samuel G.",1944-09-08,"2nd Lt","SE-44-H","TAAF","Single engine","Amityville","NY",,0,,,,"https://cafriseabove.org/samuel-gordon-leftenant/"
"Leftwich, Ivey L.","Leftwich","Ivey L.",1943-11-03,"2nd Lt","SE-43-J","TAAF","Single engine","Fairfield","AL",,0,,,,
"Leonard, Wilmore B.","Leonard","Wilmore B.",1942-09-06,"2nd Lt","SE-42-H","TAAF","Single engine","Salisbury","MD",,0,,,,
"Leslie, William A.","Leslie","William A.",1945-10-16,"2nd Lt","TE-45-G","TAAF","Twin engine","Boston","MD",,0,,,,
"Lester, Clarence D.","Lester","Clarence D.",1943-12-05,"2nd Lt","SE-43-K","TAAF","Single engine","Chicago","IL","Downed 3 Me-109s on July 18, 1944",3,,,,"https://cafriseabove.org/clarence-d-lucky-lester/"
"Lewis, Herbert Jr.","Lewis","Herbert Jr.",1945-11-20,"Flight Officer","SE-45-H","TAAF","Single engine","South Bend","IN",,0,,,,
"Lewis, Joe A.","Lewis","Joe A.",1943-06-30,"2nd Lt","SE-43-F","TAAF","Single engine","Denver","CO",,0,,,,
"Lewis, William R.","Lewis","William R.",1943-12-05,"2nd Lt","SE-43-K","TAAF","Single engine","Boston","MA",,0,,,,
"Lieteau, Albert J.","Lieteau","Albert J.",1944-09-08,"1st Lt","SE-44-H","TAAF","Single engine","New Orleans","LA",,0,,,,
